#
# Engine name: 15kN Ethalox
# Tue 6. Oct 10:01:18 2020
#
# Lc= 189.42695 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
  281.77852	   55.00914
  282.13786	   55.09909
  282.49721	   55.18873
  282.85655	   55.27818
  283.21590	   55.36751
  283.57524	   55.45647
  283.93458	   55.54543
  284.29393	   55.63395
  284.65327	   55.72242
  285.01262	   55.81063
  285.37196	   55.89861
  285.73131	   55.98651
  286.09065	   56.07400
  286.45000	   56.16149
  286.80934	   56.24859
  287.16869	   56.33560
  287.52803	   56.42239
  287.88738	   56.50891
  288.24672	   56.59541
  288.60607	   56.68144
  288.96541	   56.76747
  289.32475	   56.85318
  289.68410	   56.93872
  290.04344	   57.02413
  290.40279	   57.10919
  290.76213	   57.19426
  291.12148	   57.27888
  291.48082	   57.36347
  291.84017	   57.44779
  292.19951	   57.53189
  292.55886	   57.61592
  292.91820	   57.69954
  293.27755	   57.78317
  293.63689	   57.86642
  293.99623	   57.94957
  294.35558	   58.03253
  294.71492	   58.11520
  295.07427	   58.19786
  295.43361	   58.28006
  295.79296	   58.36225
  296.15230	   58.44416
  296.51165	   58.52587
  296.87099	   58.60749
  297.23034	   58.68873
  297.58968	   58.76997
  297.94903	   58.85083
  298.30837	   58.93159
  298.66771	   59.01217
  299.02706	   59.09247
  299.38640	   59.17276
  299.74575	   59.25258
  300.10509	   59.33240
  300.46444	   59.41195
  300.82378	   59.49130
  301.18313	   59.57057
  301.54247	   59.64944
  301.90182	   59.72832
  302.26116	   59.80685
  302.62051	   59.88526
  302.97985	   59.96351
  303.33919	   60.04145
  303.69854	   60.11939
  304.05788	   60.19690
  304.41723	   60.27437
  304.77657	   60.35161
  305.13592	   60.42862
  305.49526	   60.50559
  305.85461	   60.58213
  306.21395	   60.65868
